what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee,1.1.402.v201009151730,"org.eclipse.jst.j2ee",1309643533230
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1309643533245
started,bundle,org.eclipse.jst.jee,1.0.301.v201007151900,"org.eclipse.jst.jee",1309643533277
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309643538274
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309643584008
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309643585351
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309643586069
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309643587225
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309643588411
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309643589272
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309643590019
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309643590811
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309643592171
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309643594784
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309644229761
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309644536972
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309644549492
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309644558486
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309644570947
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309644576975
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309644577502
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309644577731
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309644587511
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309644589794
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309644590003
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309644590337
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1309644686090
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309644687337
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1309644691320
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1309644813170
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309644815042
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309646048586
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309646048590
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309646049614
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309646053141
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.core",1309646054689
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309646055120
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1309646056287
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1309646056315
